Timestamp,Temperature
21:00:01,18.81
21:00:03,18.81
21:00:05,18.81
21:00:06,18.81
21:00:08,18.87
21:00:10,18.81
21:00:12,18.81
21:00:13,18.81
21:00:15,18.81
21:00:17,18.81
21:00:18,18.81
21:00:20,18.81
21:00:22,18.81
21:00:23,18.81
21:00:25,18.81
21:00:27,18.81
21:00:28,18.81
21:00:30,18.81
21:00:32,18.81
21:00:33,18.81
21:00:35,18.81
21:00:37,18.81
21:00:38,18.81
21:00:40,18.81
21:00:42,18.81
21:00:43,18.81
21:00:45,18.81
21:00:47,18.81
21:00:48,18.81
21:00:50,18.81
21:00:52,18.81
21:00:53,18.81
21:00:55,18.81
21:00:57,18.81
21:00:59,18.81
21:01:00,18.81
21:01:02,18.81
21:01:04,18.81
21:01:05,18.81
21:01:07,18.81
21:01:09,18.81
21:01:10,18.81
21:01:12,18.81
21:01:14,18.81
21:01:15,18.81
21:01:17,18.81
21:01:19,18.81
21:01:20,18.81
21:01:22,18.81
21:01:24,18.81
21:01:25,18.81
21:01:27,18.81
21:01:29,18.81
21:01:30,18.81
21:01:32,18.81
21:01:34,18.81
21:01:35,18.81
21:01:37,18.81
21:01:39,18.81
21:01:40,18.81
21:01:42,18.81
21:01:44,18.81
21:01:46,18.81
21:01:47,18.81
21:01:49,18.81
21:01:51,18.81
21:01:52,18.81
21:01:54,18.81
21:01:56,18.81
21:01:57,18.81
21:01:59,18.81
21:02:01,18.81
21:02:02,18.81
21:02:04,18.81
21:02:06,18.81
21:02:07,18.81
21:02:09,18.81
21:02:11,18.81
21:02:12,18.81
21:02:14,18.81
21:02:16,18.81
21:02:17,18.81
21:02:19,18.81
21:02:21,18.81
21:02:22,18.81
21:02:24,18.81
21:02:26,18.81
21:02:28,18.81
21:02:29,18.81
21:02:31,18.75
21:02:33,18.81
21:02:34,18.81
21:02:36,18.81
21:02:38,18.81
21:02:39,18.81
21:02:41,18.75
21:02:43,18.75
21:02:44,18.75
21:02:46,18.81
21:02:48,18.75
21:02:49,18.81
21:02:51,18.75
21:02:53,18.75
21:02:54,18.81
21:02:56,18.81
21:02:58,18.75
21:02:59,18.75
21:03:01,18.75
21:03:03,18.81
21:03:04,18.75
21:03:06,18.75
21:03:08,18.75
21:03:09,18.75
21:03:11,18.75
21:03:13,18.75
21:03:15,18.75
21:03:16,18.75
21:03:18,18.75
21:03:20,18.75
21:03:21,18.75
21:03:23,18.75
21:03:25,18.75
21:03:26,18.75
21:03:28,18.75
21:03:30,18.75
21:03:31,18.75
21:03:33,18.75
21:03:35,18.75
21:03:36,18.75
21:03:38,18.75
21:03:40,18.75
21:03:41,18.75
21:03:43,18.75
21:03:45,18.75
21:03:46,18.75
21:03:48,18.75
21:03:50,18.75
21:03:51,18.75
21:03:53,18.75
21:03:55,18.75
21:03:56,18.75
21:03:58,18.75
21:04:00,18.75
21:04:02,18.75
21:04:03,18.75
21:04:05,18.75
21:04:07,18.75
21:04:08,18.75
21:04:10,18.75
21:04:12,18.75
21:04:13,18.75
21:04:15,18.75
21:04:17,18.75
21:04:18,18.75
21:04:20,18.75
21:04:22,18.75
21:04:23,18.75
21:04:25,18.75
21:04:27,18.75
21:04:28,18.75
21:04:30,18.75
21:04:32,18.75
21:04:33,18.75
21:04:35,18.75
21:04:37,18.75
21:04:38,18.75
21:04:40,18.75
21:04:42,18.75
21:04:44,18.75
21:04:45,18.75
21:04:47,18.75
21:04:49,18.75
21:04:50,18.75
21:04:52,18.75
21:04:54,18.75
21:04:55,18.75
21:04:57,18.75
21:04:59,18.75
21:05:00,18.75
21:05:02,18.75
21:05:04,18.75
21:05:05,18.75
21:05:07,18.75
21:05:09,18.75
21:05:10,18.75
21:05:12,18.75
21:05:14,18.75
21:05:15,18.75
21:05:17,18.81
21:05:19,18.81
21:05:20,18.75
21:05:22,18.81
21:05:24,18.81
21:05:25,18.81
21:05:27,18.75
21:05:29,18.75
21:05:31,18.81
21:05:32,18.75
21:05:34,18.81
21:05:36,18.75
21:05:37,18.81
21:05:39,18.75
21:05:41,18.75
21:05:42,18.75
21:05:44,18.75
21:05:46,18.75
21:05:47,18.75
21:05:49,18.75
21:05:51,18.75
21:05:52,18.75
21:05:54,18.75
21:05:56,18.75
21:05:57,18.75
21:05:59,18.75
21:06:01,18.75
21:06:02,18.75
21:06:04,18.75
21:06:06,18.75
21:06:07,18.75
21:06:09,18.75
21:06:11,18.75
21:06:13,18.75
21:06:14,18.75
21:06:16,18.75
21:06:18,18.75
21:06:19,18.75
21:06:21,18.75
21:06:23,18.75
21:06:24,18.75
21:06:26,18.75
21:06:28,18.75
21:06:29,18.75
21:06:31,18.75
21:06:33,18.75
21:06:34,18.75
21:06:36,18.75
21:06:38,18.75
21:06:39,18.75
21:06:41,18.75
21:06:43,18.75
21:06:44,18.69
21:06:46,18.75
